unique_id,name_id,surname,first_name,common_name,display_name,gender,state_abbrev,birth_date,death_date,form1,form2,form3,form4,form5,source
Colston1938,PF4,Colston,Malcolm,Mal,"Colston, Mal",male,QLD,1938-04-05,2003-08-23,Senator Mal Colston,Senator Colston,Senator MAL COLSTON,Senator COLSTON,Senator Mal COLSTON,AustralianPoliticians
Conroy1963,3L6,Conroy,Stephen,,"Conroy, Stephen",male,VIC,1963-01-18,,Senator Stephen Conroy,Senator Conroy,Senator STEPHEN CONROY,Senator CONROY,Senator Stephen CONROY,AustralianPoliticians
Cook1943,RF4,Cook,Peter,,"Cook, Peter",male,WA,1943-11-08,2005-12-03,Senator Peter Cook,Senator Cook,Senator PETER COOK,Senator COOK,Senator Peter COOK,AustralianPoliticians
Cooke1904,JQN,Cooke,Joseph,Joe,"Cooke, Joe",male,WA,1904-03-28,1981-04-14,Senator Joe Cooke,Senator Cooke,Senator JOE COOKE,Senator COOKE,Senator Joe COOKE,AustralianPoliticians
Coonan1947,2M6,Coonan,Helen,,"Coonan, Helen",female,NSW,1947-10-29,,Senator Helen Coonan,Senator Coonan,Senator HELEN COONAN,Senator COONAN,Senator Helen COONAN,AustralianPoliticians
Cooney1934,SF4,Cooney,Bernard,Barney,"Cooney, Barney",male,VIC,1934-07-11,2019-02-09,Senator Barney Cooney,Senator Cooney,Senator BARNEY COONEY,Senator COONEY,Senator Barney COONEY,AustralianPoliticians
Cooper1888,JQP,Cooper,Walter,,"Cooper, Walter",male,QLD,1888-04-23,1973-07-22,Senator Walter Cooper,Senator Cooper,Senator WALTER COOPER,Senator COOPER,Senator Walter COOPER,AustralianPoliticians
Cormack1906,JQQ,Cormack,Magnus,,"Cormack, Magnus",male,VIC,1906-02-12,1994-11-26,Senator Magnus Cormack,Senator Cormack,Senator MAGNUS CORMACK,Senator CORMACK,Senator Magnus CORMACK,AustralianPoliticians
Cormann1970,HDA,Cormann,Mathias,,"Cormann, Mathias",male,WA,1970-09-20,,Senator Mathias Cormann,Senator Cormann,Senator MATHIAS CORMANN,Senator CORMANN,Senator Mathias CORMANN,AustralianPoliticians
Cotton1915,JQR,Cotton,Robert,Bob,"Cotton, Bob",male,NSW,1915-11-29,2006-12-25,Senator Bob Cotton,Senator Cotton,Senator BOB COTTON,Senator COTTON,Senator Bob COTTON,AustralianPoliticians
Coulter1930,TF4,Coulter,John,,"Coulter, John",male,SA,1930-12-03,,Senator John Coulter,Senator Coulter,Senator JOHN COULTER,Senator COULTER,Senator John COULTER,AustralianPoliticians
Courtenay1879,JQW,Courtenay,Lionel,,"Courtenay, Lionel",male,NSW,1879-05-29,1935-07-11,Senator Lionel Courtenay,Senator Courtenay,Senator LIONEL COURTENAY,Senator COURTENAY,Senator Lionel COURTENAY,AustralianPoliticians
Courtice1885,JQY,Courtice,Benjamin,Ben,"Courtice, Ben",male,QLD,1885-03-28,1972-01-07,Senator Ben Courtice,Senator Courtice,Senator BEN COURTICE,Senator COURTICE,Senator Ben COURTICE,AustralianPoliticians
Cox1863,JRT,Cox,Charles,,"Cox, Charles",male,NSW,1863-05-02,1944-11-20,Senator Charles Cox,Senator Cox,Senator CHARLES COX,Senator COX,Senator Charles COX,AustralianPoliticians
Cox1977,,Cox,Dorinda,,"Cox, Dorinda",female,WA,,,Senator Dorinda Cox,Senator Cox,Senator DORINDA COX,Senator COX,Senator Dorinda COX,AustralianPoliticians
Crane1941,UW4,Crane,Arthur,,"Crane, Arthur",male,WA,1941-08-21,,Senator Arthur Crane,Senator Crane,Senator ARTHUR CRANE,Senator CRANE,Senator Arthur CRANE,AustralianPoliticians
Crawford1865,JRW,Crawford,Thomas,,"Crawford, Thomas",male,QLD,1865-01-31,1948-06-09,Senator Thomas Crawford,Senator Crawford,Senator THOMAS CRAWFORD,Senator CRAWFORD,Senator Thomas CRAWFORD,AustralianPoliticians
CrichtonBrowne1944,XF4,Crichton-Browne,Noel,,"Crichton-Browne, Noel",male,WA,1944-02-02,,Senator Noel Crichton-Browne,Senator Crichton-Browne,Senator NOEL CRICHTON-BROWNE,Senator CRICHTON-BROWNE,Senator Noel CRICHTON-BROWNE,AustralianPoliticians
Critchley1892,JSB,Critchley,John,Jack,"Critchley, Jack",male,SA,1892-04-18,1964-04-27,Senator Jack Critchley,Senator Critchley,Senator JACK CRITCHLEY,Senator CRITCHLEY,Senator Jack CRITCHLEY,AustralianPoliticians
Croft1871,JTH,Croft,John,,"Croft, John",male,WA,1871-01-20,1913-01-01,Senator John Croft,Senator Croft,Senator JOHN CROFT,Senator CROFT,Senator John CROFT,AustralianPoliticians
Crossin1956,7Y6,Crossin,Patricia,Trish,"Crossin, Trish",female,NT,1956-03-21,,Senator Trish Crossin,Senator Crossin,Senator TRISH CROSSIN,Senator CROSSIN,Senator Trish CROSSIN,AustralianPoliticians
Crowley1938,ZF4,Crowley,Rosemary,,"Crowley, Rosemary",female,SA,1938-07-30,,Senator Rosemary Crowley,Senator Crowley,Senator ROSEMARY CROWLEY,Senator CROWLEY,Senator Rosemary CROWLEY,AustralianPoliticians
Culleton1964,266482,Culleton,Rodney,Rod,"Culleton, Rod",male,WA,1964-06-05,,Senator Rod Culleton,Senator Culleton,Senator ROD CULLETON,Senator CULLETON,Senator Rod CULLETON,AustralianPoliticians
Cunningham1879,JTK,Cunningham,James,,"Cunningham, James",male,WA,1879-12-28,1943-07-04,Senator James Cunningham,Senator Cunningham,Senator JAMES CUNNINGHAM,Senator CUNNINGHAM,Senator James CUNNINGHAM,AustralianPoliticians
Daly1891,JTL,Daly,John,,"Daly, John",male,SA,1891-11-10,1942-04-13,Senator John Daly,Senator Daly,Senator JOHN DALY,Senator DALY,Senator John DALY,AustralianPoliticians
Darcey1870,JTR,Darcey,Richard,,"Darcey, Richard",male,TAS,1870-02-26,1944-07-26,Senator Richard Darcey,Senator Darcey,Senator RICHARD DARCEY,Senator DARCEY,Senator Richard DARCEY,AustralianPoliticians
Dastyari1983,225099,Dastyari,Sam,,"Dastyari, Sam",male,NSW,1983-07-28,,Senator Sam Dastyari,Senator Dastyari,Senator SAM DASTYARI,Senator DASTYARI,Senator Sam DASTYARI,AustralianPoliticians
Davey1972,281697,Davey,Perin,,"Davey, Perin",female,NSW,1972-02-05,,Senator Perin Davey,Senator Davey,Senator PERIN DAVEY,Senator DAVEY,Senator Perin DAVEY,AustralianPoliticians
Davidson1915,JTT,Davidson,Gordon,,"Davidson, Gordon",male,SA,1915-01-17,2002-11-25,Senator Gordon Davidson,Senator Davidson,Senator GORDON DAVIDSON,Senator DAVIDSON,Senator Gordon DAVIDSON,AustralianPoliticians
Dawson1863,JTV,Dawson,Anderson,,"Dawson, Anderson",male,QLD,1863-07-16,1910-07-20,Senator Anderson Dawson,Senator Dawson,Senator ANDERSON DAWSON,Senator DAWSON,Senator Anderson DAWSON,AustralianPoliticians
Day1952,HYG,Day,Robert,Bob,"Day, Bob",male,SA,1952-07-05,,Senator Bob Day,Senator Day,Senator BOB DAY,Senator DAY,Senator Bob DAY,AustralianPoliticians
Dein1889,JUD,Dein,Adam,Dick,"Dein, Dick",male,NSW,1889-03-04,1969-05-09,Senator Dick Dein,Senator Dein,Senator DICK DEIN,Senator DEIN,Senator Dick DEIN,AustralianPoliticians
deLargie1859,JU7,de Largie,Hugh,,"de Largie, Hugh",male,WA,1859-03-24,1947-05-09,Senator Hugh de Largie,Senator de Largie,Senator HUGH DE LARGIE,Senator DE LARGIE,Senator Hugh DE LARGIE,AustralianPoliticians
Denman1937,FY5,Denman,Kay,,"Denman, Kay",female,TAS,1937-07-22,,Senator Kay Denman,Senator Denman,Senator KAY DENMAN,Senator DENMAN,Senator Kay DENMAN,AustralianPoliticians
Devereux1946,1G4,Devereux,John,,"Devereux, John",male,TAS,1946-02-08,,Senator John Devereux,Senator Devereux,Senator JOHN DEVEREUX,Senator DEVEREUX,Senator John DEVEREUX,AustralianPoliticians
Devitt1921,JUH,Devitt,Donald,Don,"Devitt, Don",male,TAS,1921-07-11,2008-07-10,Senator Don Devitt,Senator Devitt,Senator DON DEVITT,Senator DEVITT,Senator Don DEVITT,AustralianPoliticians
Devlin1898,JUL,Devlin,John,Jack,"Devlin, Jack",male,VIC,1898-06-06,1957-05-26,Senator Jack Devlin,Senator Devlin,Senator JACK DEVLIN,Senator DEVLIN,Senator Jack DEVLIN,AustralianPoliticians
Devlin1926,JUI,Devlin,Arthur,Ray,"Devlin, Ray",male,TAS,1926-03-17,1995-05-17,Senator Ray Devlin,Senator Devlin,Senator RAY DEVLIN,Senator DEVLIN,Senator Ray DEVLIN,AustralianPoliticians
DiNatale1970,53369,Di Natale,Richard,,"Di Natale, Richard",male,VIC,1970-06-06,,Senator Richard Di Natale,Senator Di Natale,Senator RICHARD DI NATALE,Senator DI NATALE,Senator Richard DI NATALE,AustralianPoliticians
Dittmer1904,JUM,Dittmer,Felix,,"Dittmer, Felix",male,QLD,1904-06-27,1977-08-29,Senator Felix Dittmer,Senator Dittmer,Senator FELIX DITTMER,Senator DITTMER,Senator Felix DITTMER,AustralianPoliticians
Dobson1841,JVC,Dobson,Henry,,"Dobson, Henry",male,TAS,1841-12-24,1918-10-10,Senator Henry Dobson,Senator Dobson,Senator HENRY DOBSON,Senator DOBSON,Senator Henry DOBSON,AustralianPoliticians
Dodson1948,SR5,Dodson,Patrick,Pat,"Dodson, Pat",male,WA,1948-01-29,,Senator Pat Dodson,Senator Dodson,Senator PAT DODSON,Senator DODSON,Senator Pat DODSON,AustralianPoliticians
Dooley1884,JVF,Dooley,John,,"Dooley, John",male,NSW,1884-11-11,1961-08-02,Senator John Dooley,Senator Dooley,Senator JOHN DOOLEY,Senator DOOLEY,Senator John DOOLEY,AustralianPoliticians
Downer1843,JVG,Downer,John,,"Downer, John",male,SA,1843-07-06,1915-08-02,Senator John Downer,Senator Downer,Senator JOHN DOWNER,Senator DOWNER,Senator John DOWNER,AustralianPoliticians
Drake1850,JXO,Drake,James,,"Drake, James",male,QLD,1850-04-26,1941-08-01,Senator James Drake,Senator Drake,Senator JAMES DRAKE,Senator DRAKE,Senator James DRAKE,AustralianPoliticians
DrakeBrockman1884,JXP,Drake-Brockman,Edmund,,"Drake-Brockman, Edmund",male,WA,1884-02-21,1949-06-01,Senator Edmund Drake-Brockman,Senator Drake-Brockman,Senator EDMUND DRAKE-BROCKMAN,Senator DRAKE-BROCKMAN,Senator Edmund DRAKE-BROCKMAN,AustralianPoliticians
DrakeBrockman1919,JXR,Drake-Brockman,Thomas,,"Drake-Brockman, Thomas",male,WA,1919-05-15,1992-08-28,Senator Thomas Drake-Brockman,Senator Drake-Brockman,Senator THOMAS DRAKE-BROCKMAN,Senator DRAKE-BROCKMAN,Senator Thomas DRAKE-BROCKMAN,AustralianPoliticians
Drury1912,JXX,Drury,Arnold,,"Drury, Arnold",male,SA,1912-07-23,1995-10-10,Senator Arnold Drury,Senator Drury,Senator ARNOLD DRURY,Senator DRURY,Senator Arnold DRURY,AustralianPoliticians
Duncan1883,JXZ,Duncan,Walter,,"Duncan, Walter",male,NSW,1883-03-14,1947-05-28,Senator Walter Duncan,Senator Duncan,Senator WALTER DUNCAN,Senator DUNCAN,Senator Walter DUNCAN,AustralianPoliticians
DuncanHughes1882,JY7,Duncan-Hughes,John,Jack,"Duncan-Hughes, Jack",male,SA,1882-09-01,1962-08-13,Senator Jack Duncan-Hughes,Senator Duncan-Hughes,Senator JACK DUNCAN-HUGHES,Senator DUNCAN-HUGHES,Senator Jack DUNCAN-HUGHES,AustralianPoliticians
Duniam1982,263418,Duniam,Jonathon,,"Duniam, Jonathon",male,TAS,1982-12-31,,Senator Jonathon Duniam,Senator Duniam,Senator JONATHON DUNIAM,Senator DUNIAM,Senator Jonathon DUNIAM,AustralianPoliticians
Dunn1887,JYB,Dunn,James,,"Dunn, James",male,NSW,1887-08-20,1945-11-21,Senator James Dunn,Senator Dunn,Senator JAMES DUNN,Senator DUNN,Senator James DUNN,AustralianPoliticians
Dunn1948,3K4,Dunn,Patricia,Irina,"Dunn, Irina",female,NSW,1948-03-17,,Senator Irina Dunn,Senator Dunn,Senator IRINA DUNN,Senator DUNN,Senator Irina DUNN,AustralianPoliticians
Durack1926,8G4,Durack,Peter,,"Durack, Peter",male,WA,1926-10-20,2008-07-13,Senator Peter Durack,Senator Durack,Senator PETER DURACK,Senator DURACK,Senator Peter DURACK,AustralianPoliticians
Earle1865,JYF,Earle,John,,"Earle, John",male,TAS,1865-11-15,1932-02-06,Senator John Earle,Senator Earle,Senator JOHN EARLE,Senator EARLE,Senator John EARLE,AustralianPoliticians
Edwards1962,225307,Edwards,Sean,,"Edwards, Sean",male,SA,1962-01-02,,Senator Sean Edwards,Senator Edwards,Senator SEAN EDWARDS,Senator EDWARDS,Senator Sean EDWARDS,AustralianPoliticians
Eggleston1941,4L6,Eggleston,Alan,,"Eggleston, Alan",male,WA,1941-12-30,,Senator Alan Eggleston,Senator Eggleston,Senator ALAN EGGLESTON,Senator EGGLESTON,Senator Alan EGGLESTON,AustralianPoliticians
Elliott1878,JYG,Elliott,Harold,,"Elliott, Harold",male,VIC,1878-06-19,1931-03-23,Senator Harold Elliott,Senator Elliott,Senator HAROLD ELLIOTT,Senator ELLIOTT,Senator Harold ELLIOTT,AustralianPoliticians
Elliott1884,JYH,Elliott,Robert,,"Elliott, Robert",male,VIC,1884-10-28,1950-03-06,Senator Robert Elliott,Senator Elliott,Senator ROBERT ELLIOTT,Senator ELLIOTT,Senator Robert ELLIOTT,AustralianPoliticians
Ellison1954,9X5,Ellison,Christopher,Chris,"Ellison, Chris",male,WA,1954-06-15,,Senator Chris Ellison,Senator Ellison,Senator CHRIS ELLISON,Senator ELLISON,Senator Chris ELLISON,AustralianPoliticians
Elstob1924,JYI,Elstob,Ronald,,"Elstob, Ronald",male,SA,1924-11-29,,Senator Ronald Elstob,Senator Elstob,Senator RONALD ELSTOB,Senator ELSTOB,Senator Ronald ELSTOB,AustralianPoliticians
Evans1928,JYL,Evans,John,Jack,"Evans, Jack",male,WA,1928-11-28,2009-10-02,Senator Jack Evans,Senator Evans,Senator JACK EVANS,Senator EVANS,Senator Jack EVANS,AustralianPoliticians
Evans1944,VD4,Evans,Gareth,,"Evans, Gareth",male,VIC,1944-09-05,,Senator Gareth Evans,Senator Evans,Senator GARETH EVANS,Senator EVANS,Senator Gareth EVANS,AustralianPoliticians
Evans1958,AX5,Evans,Christopher,Chris,"Evans, Chris",male,WA,1958-05-14,,Senator Chris Evans,Senator Evans,Senator CHRIS EVANS,Senator EVANS,Senator Chris EVANS,AustralianPoliticians
Everett1917,JYN,Everett,Mervyn,Merv,"Everett, Merv",male,TAS,1917-10-07,1988-10-27,Senator Merv Everett,Senator Everett,Senator MERV EVERETT,Senator EVERETT,Senator Merv EVERETT,AustralianPoliticians
Ewing1870,JYQ,Ewing,Norman,,"Ewing, Norman",male,WA,1870-12-26,1928-07-19,Senator Norman Ewing,Senator Ewing,Senator NORMAN EWING,Senator EWING,Senator Norman EWING,AustralianPoliticians
Fairbairn1855,JYR,Fairbairn,George,,"Fairbairn, George",male,VIC,1855-03-23,1943-10-23,Senator George Fairbairn,Senator Fairbairn,Senator GEORGE FAIRBAIRN,Senator FAIRBAIRN,Senator George FAIRBAIRN,AustralianPoliticians
Farrell1954,I0N,Farrell,Donald,Don,"Farrell, Don",male,SA,1954-06-06,,Senator Don Farrell,Senator Farrell,Senator DON FARRELL,Senator FARRELL,Senator Don FARRELL,AustralianPoliticians
Faruqi1963,250362,Faruqi,Mehreen,,"Faruqi, Mehreen",female,NSW,1963-07-08,,Senator Mehreen Faruqi,Senator Faruqi,Senator MEHREEN FARUQI,Senator FARUQI,Senator Mehreen FARUQI,AustralianPoliticians
Faulkner1954,5K4,Faulkner,John,,"Faulkner, John",male,NSW,1954-04-12,,Senator John Faulkner,Senator Faulkner,Senator JOHN FAULKNER,Senator FAULKNER,Senator John FAULKNER,AustralianPoliticians
Fawcett1963,DYU,Fawcett,David,,"Fawcett, David",male,SA,1963-10-23,,Senator David Fawcett,Senator Fawcett,Senator DAVID FAWCETT,Senator FAWCETT,Senator David FAWCETT,AustralianPoliticians
Feeney1970,I0O,Feeney,David,,"Feeney, David",male,VIC,1970-03-05,,Senator David Feeney,Senator Feeney,Senator DAVID FEENEY,Senator FEENEY,Senator David FEENEY,AustralianPoliticians
Ferguson1830,JYS,Ferguson,John,,"Ferguson, John",male,QLD,1830-03-15,1906-03-30,Senator John Ferguson,Senator Ferguson,Senator JOHN FERGUSON,Senator FERGUSON,Senator John FERGUSON,AustralianPoliticians
Ferguson1943,EP5,Ferguson,Alan,,"Ferguson, Alan",male,SA,1943-09-16,,Senator Alan Ferguson,Senator Ferguson,Senator ALAN FERGUSON,Senator FERGUSON,Senator Alan FERGUSON,AustralianPoliticians
Ferricks1875,JYT,Ferricks,Myles,,"Ferricks, Myles",male,QLD,1875-11-12,1932-08-20,Senator Myles Ferricks,Senator Ferricks,Senator MYLES FERRICKS,Senator FERRICKS,Senator Myles FERRICKS,AustralianPoliticians
Ferris1941,5L6,Ferris,Jeannie,,"Ferris, Jeannie",female,SA,1941-03-14,2007-04-02,Senator Jeannie Ferris,Senator Ferris,Senator JEANNIE FERRIS,Senator FERRIS,Senator Jeannie FERRIS,AustralianPoliticians
Field1910,JYW,Field,Albert,Pat,"Field, Pat",male,QLD,1910-10-11,1990-07-01,Senator Pat Field,Senator Field,Senator PAT FIELD,Senator FIELD,Senator Pat FIELD,AustralianPoliticians
Fielding1960,E4R,Fielding,Steven,Steve,"Fielding, Steve",male,VIC,1960-10-17,,Senator Steve Fielding,Senator Fielding,Senator STEVE FIELDING,Senator FIELDING,Senator Steve FIELDING,AustralianPoliticians
FierravantiWells1960,E4T,Fierravanti-Wells,Concetta,Connie,"Fierravanti-Wells, Connie",female,NSW,1960-05-20,,Senator Connie Fierravanti-Wells,Senator Fierravanti-Wells,Senator CONNIE FIERRAVANTI-WELLS,Senator FIERRAVANTI-WELLS,Senator Connie FIERRAVANTI-WELLS,AustralianPoliticians
Fifield1967,D2I,Fifield,Mitchell,Mitch,"Fifield, Mitch",male,VIC,1967-01-16,,Senator Mitch Fifield,Senator Fifield,Senator MITCH FIFIELD,Senator FIFIELD,Senator Mitch FIFIELD,AustralianPoliticians
Findley1864,JYX,Findley,Edward,,"Findley, Edward",male,VIC,1864-09-08,1947-10-26,Senator Edward Findley,Senator Findley,Senator EDWARD FINDLEY,Senator FINDLEY,Senator Edward FINDLEY,AustralianPoliticians
Finlay1887,JZ8,Finlay,Alexander,Alex,"Finlay, Alex",male,SA,1887-11-14,1963-03-02,Senator Alex Finlay,Senator Finlay,Senator ALEX FINLAY,Senator FINLAY,Senator Alex FINLAY,AustralianPoliticians
Fisher1962,HBE,Fisher,Mary,Mary Jo,"Fisher, Mary Jo",female,SA,1962-12-25,,Senator Mary Jo Fisher,Senator Fisher,Senator MARY JO FISHER,Senator FISHER,Senator Mary Jo FISHER,AustralianPoliticians
Fitzgerald1910,JZB,Fitzgerald,Joseph,Joe,"Fitzgerald, Joe",male,NSW,1910-01-05,1985-11-01,Senator Joe Fitzgerald,Senator Fitzgerald,Senator JOE FITZGERALD,Senator FITZGERALD,Senator Joe FITZGERALD,AustralianPoliticians
Foll1890,JZD,Foll,Hattil,Harry,"Foll, Harry",male,QLD,1890-05-30,1977-07-07,Senator Harry Foll,Senator Foll,Senator HARRY FOLL,Senator FOLL,Senator Harry FOLL,AustralianPoliticians
Foreman1933,GG4,Foreman,Dominic,,"Foreman, Dominic",male,SA,1933-08-06,,Senator Dominic Foreman,Senator Foreman,Senator DOMINIC FOREMAN,Senator FOREMAN,Senator Dominic FOREMAN,AustralianPoliticians
Forshaw1952,656,Forshaw,Michael,,"Forshaw, Michael",male,NSW,1952-01-11,,Senator Michael Forshaw,Senator Forshaw,Senator MICHAEL FORSHAW,Senator FORSHAW,Senator Michael FORSHAW,AustralianPoliticians
Foster1884,KKH,Foster,George,,"Foster, George",male,TAS,,1956-06-06,Senator George Foster,Senator Foster,Senator GEORGE FOSTER,Senator FOSTER,Senator George FOSTER,AustralianPoliticians
Fraser1832,KKL,Fraser,Simon,,"Fraser, Simon",male,VIC,1832-08-21,1919-07-30,Senator Simon Fraser,Senator Fraser,Senator SIMON FRASER,Senator FRASER,Senator Simon FRASER,AustralianPoliticians
Fraser1889,KKR,Fraser,James,,"Fraser, James",male,WA,1889-03-12,1961-08-27,Senator James Fraser,Senator Fraser,Senator JAMES FRASER,Senator FRASER,Senator James FRASER,AustralianPoliticians
Fraser1892,KKJ,Fraser,Alexander,,"Fraser, Alexander",male,VIC,1892-08-22,1965-07-09,Senator Alexander Fraser,Senator Fraser,Senator ALEXANDER FRASER,Senator FRASER,Senator Alexander FRASER,AustralianPoliticians
Furner1958,I0P,Furner,Mark,,"Furner, Mark",male,QLD,1958-04-11,,Senator Mark Furner,Senator Furner,Senator MARK FURNER,Senator FURNER,Senator Mark FURNER,AustralianPoliticians
Gair1901,KKP,Gair,Vincent,Vince,"Gair, Vince",male,QLD,1901-02-25,1980-11-11,Senator Vince Gair,Senator Gair,Senator VINCE GAIR,Senator GAIR,Senator Vince GAIR,AustralianPoliticians
Gallacher1954,204953,Gallacher,Alexander,Alex,"Gallacher, Alex",male,SA,1954-01-01,2021-08-29,Senator Alex Gallacher,Senator Gallacher,Senator ALEX GALLACHER,Senator GALLACHER,Senator Alex GALLACHER,AustralianPoliticians
Gallagher1970,ING,Gallagher,Katherine,Katy,"Gallagher, Katy",female,ACT,1970-03-17,,Senator Katy Gallagher,Senator Gallagher,Senator KATY GALLAGHER,Senator GALLAGHER,Senator Katy GALLAGHER,AustralianPoliticians
Gardiner1867,KKZ,Gardiner,Albert,,"Gardiner, Albert",male,NSW,1867-07-30,1952-08-14,Senator Albert Gardiner,Senator Gardiner,Senator ALBERT GARDINER,Senator GARDINER,Senator Albert GARDINER,AustralianPoliticians
Garling1870,KL7,Garling,Henry,,"Garling, Henry",male,NSW,1870-06-07,1942-11-19,Senator Henry Garling,Senator Garling,Senator HENRY GARLING,Senator GARLING,Senator Henry GARLING,AustralianPoliticians
Georges1920,7V4,Georges,George,,"Georges, George",male,QLD,1920-04-15,2002-09-23,Senator George Georges,Senator Georges,Senator GEORGE GEORGES,Senator GEORGES,Senator George GEORGES,AustralianPoliticians
Georgiou1974,269583,Georgiou,Peter,,"Georgiou, Peter",male,WA,1974-01-13,,Senator Peter Georgiou,Senator Georgiou,Senator PETER GEORGIOU,Senator GEORGIOU,Senator Peter GEORGIOU,AustralianPoliticians
Gibbs1879,KLP,Gibbs,William,,"Gibbs, William",male,NSW,1879-07-05,1944-08-17,Senator William Gibbs,Senator Gibbs,Senator WILLIAM GIBBS,Senator GIBBS,Senator William GIBBS,AustralianPoliticians
Gibbs1947,6L6,Gibbs,Brenda,,"Gibbs, Brenda",female,QLD,1947-09-03,,Senator Brenda Gibbs,Senator Gibbs,Senator BRENDA GIBBS,Senator GIBBS,Senator Brenda GIBBS,AustralianPoliticians
Gibson1869,KAY,Gibson,William,,"Gibson, William",male,VIC,1869-05-19,1955-05-22,Senator William Gibson,Senator Gibson,Senator WILLIAM GIBSON,Senator GIBSON,Senator William GIBSON,AustralianPoliticians
Gibson1936,BX5,Gibson,Brian,,"Gibson, Brian",male,TAS,1936-11-04,2017-08-15,Senator Brian Gibson,Senator Gibson,Senator BRIAN GIBSON,Senator GIBSON,Senator Brian GIBSON,AustralianPoliticians
Gichuhi1962,270552,Gichuhi,Lucy,,"Gichuhi, Lucy",female,SA,1962-09-23,,Senator Lucy Gichuhi,Senator Gichuhi,Senator LUCY GICHUHI,Senator GICHUHI,Senator Lucy GICHUHI,AustralianPoliticians
Gietzelt1920,RG4,Gietzelt,Arthur,,"Gietzelt, Arthur",male,NSW,1920-12-28,2014-01-05,Senator Arthur Gietzelt,Senator Gietzelt,Senator ARTHUR GIETZELT,Senator GIETZELT,Senator Arthur GIETZELT,AustralianPoliticians
Giles1928,XG4,Giles,Patricia,,"Giles, Patricia",female,WA,1928-11-16,2017-08-09,Senator Patricia Giles,Senator Giles,Senator PATRICIA GILES,Senator GILES,Senator Patricia GILES,AustralianPoliticians
Givens1864,KLS,Givens,Thomas,,"Givens, Thomas",male,QLD,1864-02-26,1928-06-19,Senator Thomas Givens,Senator Givens,Senator THOMAS GIVENS,Senator GIVENS,Senator Thomas GIVENS,AustralianPoliticians
Glasgow1876,KLU,Glasgow,Thomas,William,"Glasgow, William",male,QLD,1876-06-06,1955-07-04,Senator William Glasgow,Senator Glasgow,Senator WILLIAM GLASGOW,Senator GLASGOW,Senator William GLASGOW,AustralianPoliticians
Glassey1844,KLW,Glassey,Thomas,,"Glassey, Thomas",male,QLD,1844-02-26,1936-09-28,Senator Thomas Glassey,Senator Glassey,Senator THOMAS GLASSEY,Senator GLASSEY,Senator Thomas GLASSEY,AustralianPoliticians
Gorton1911,KH5,Gorton,John,,"Gorton, John",male,VIC,1911-09-09,2002-05-19,Senator John Gorton,Senator Gorton,Senator JOHN GORTON,Senator GORTON,Senator John GORTON,AustralianPoliticians
Gould1847,KLZ,Gould,Albert,,"Gould, Albert",male,NSW,1847-02-12,1936-07-27,Senator Albert Gould,Senator Gould,Senator ALBERT GOULD,Senator GOULD,Senator Albert GOULD,AustralianPoliticians
Graham1867,KMI,Graham,Charles,,"Graham, Charles",male,WA,,1938-03-27,Senator Charles Graham,Senator Graham,Senator CHARLES GRAHAM,Senator GRAHAM,Senator Charles GRAHAM,AustralianPoliticians
Grant1857,KMP,Grant,John,,"Grant, John",male,NSW,,1928-05-19,Senator John Grant,Senator Grant,Senator JOHN GRANT,Senator GRANT,Senator John GRANT,AustralianPoliticians
Grant1878,KMK,Grant,Charles,,"Grant, Charles",male,TAS,1878-04-24,1943-12-14,Senator Charles Grant,Senator Grant,Senator CHARLES GRANT,Senator GRANT,Senator Charles GRANT,AustralianPoliticians
Grant1888,KMN,Grant,Donald,,"Grant, Donald",male,NSW,1888-02-26,1970-06-09,Senator Donald Grant,Senator Grant,Senator DONALD GRANT,Senator GRANT,Senator Donald GRANT,AustralianPoliticians
Gray1840,KMT,Gray,John,,"Gray, John",male,NSW,1840-12-01,1914-04-18,Senator John Gray,Senator Gray,Senator JOHN GRAY,Senator GRAY,Senator John GRAY,AustralianPoliticians
Green,283595,Green,Nita,,"Green, Nita",female,QLD,,,Senator Nita Green,Senator Green,Senator NITA GREEN,Senator GREEN,Senator Nita GREEN,AustralianPoliticians
Greenwood1926,KMX,Greenwood,Ivor,,"Greenwood, Ivor",male,VIC,1926-11-15,1976-10-13,Senator Ivor Greenwood,Senator Greenwood,Senator IVOR GREENWOOD,Senator GREENWOOD,Senator Ivor GREENWOOD,AustralianPoliticians
Greig1966,86X,Greig,Brian,,"Greig, Brian",male,WA,1966-02-22,,Senator Brian Greig,Senator Greig,Senator BRIAN GREIG,Senator GREIG,Senator Brian GREIG,AustralianPoliticians
Griff1957,76760,Griff,Stirling,,"Griff, Stirling",male,SA,1957-12-02,,Senator Stirling Griff,Senator Griff,Senator STIRLING GRIFF,Senator GRIFF,Senator Stirling GRIFF,AustralianPoliticians
Grimes1937,9V4,Grimes,Donald,,"Grimes, Donald",male,TAS,1937-10-04,,Senator Donald Grimes,Senator Grimes,Senator DONALD GRIMES,Senator GRIMES,Senator Donald GRIMES,AustralianPoliticians
Grogan,296331,Grogan,Karen,,"Grogan, Karen",female,SA,,,Senator Karen Grogan,Senator Grogan,Senator KAREN GROGAN,Senator GROGAN,Senator Karen GROGAN,AustralianPoliticians
